act,test_sub,train_loss,train_recon,train_soft,train_pair,train_inert,mae_soft,mse_soft,input_ch
6,1,0.45738282799720764,0.07907150260039739,0.6028238364628383,0.1017786477293287,0.231829006757055,0.08818160742521286,0.011588823981583118,15
6,2,0.46531457134655546,0.08676171196358544,0.6001184412411281,0.09993469715118408,0.24256618320941925,0.0760684385895729,0.008722642436623573,15
6,3,0.4558700408254351,0.07847795422588076,0.5998173696654183,0.10102916296039309,0.2358732670545578,0.06272251904010773,0.006270117592066526,15
6,4,0.4546172618865967,0.07910523350749697,0.6003610747201102,0.10357048468930381,0.2213016769715718,0.06839382648468018,0.007248205132782459,15
6,5,0.4620213806629181,0.07906802637236458,0.6030304176466805,0.10139012123857226,0.2551055976322719,0.085029236972332,0.010461335070431232,15
6,6,0.452420745577131,0.07461496868303844,0.6020334873880658,0.1004065562571798,0.23333532682486943,0.08102110028266907,0.009447113610804081,15
6,7,0.4453369208744594,0.07112053994621549,0.5983506270817348,0.09858265838452748,0.22733130838189805,0.06312226504087448,0.007163625210523605,15
6,8,0.45919194391795565,0.07924886899335044,0.6019548177719116,0.10199896778379168,0.24182982317038945,0.08461256325244904,0.010326449759304523,15
6,9,0.45624559266226633,0.07723369768687657,0.5992756741387504,0.10153236133711678,0.24457176242555892,0.06306297332048416,0.007719892542809248,15
6,10,0.45799107210976736,0.08150664078337806,0.6026168806212289,0.1026003531047276,0.22197942435741425,0.086176298558712,0.010686798021197319,15
7,1,0.45681170374155045,0.05245700804516673,0.6254637315869331,0.11978330928832293,0.27843914553523064,0.06269750744104385,0.006221886724233627,15
7,2,0.48837350947516306,0.0740685590675899,0.625792750290462,0.1273695613656725,0.31598848955971853,0.05773204192519188,0.005427897442132235,15
7,3,0.47544895325388226,0.06446613903556551,0.6263147507395063,0.12515493908098765,0.30139479892594473,0.07471761107444763,0.008580116555094719,15
7,4,0.47740842614855084,0.07320770621299744,0.6264538168907166,0.12407343834638596,0.26875893771648407,0.0572226382791996,0.005250110756605864,15
7,5,0.4642024040222168,0.05263943038880825,0.6273277178406715,0.12008733674883842,0.30936452001333237,0.07525578886270523,0.008409779518842697,15
7,6,0.4652478098869324,0.05941863125190139,0.6262802705168724,0.12000285740941763,0.2834409214556217,0.06569086015224457,0.006632340606302023,15
7,7,0.4652888588607311,0.062123884446918964,0.6250413805246353,0.12086214404553175,0.27192819118499756,0.05360701307654381,0.004815469495952129,15
7,8,0.4658474884927273,0.05479209404438734,0.6260649859905243,0.12036731280386448,0.3095635659992695,0.05952500179409981,0.005783963017165661,15
7,9,0.460580263286829,0.055295380763709545,0.6261967420578003,0.11997026763856411,0.28097716718912125,0.0644741877913475,0.0068701449781656265,15
7,10,0.46661515161395073,0.06087295804172754,0.6263551041483879,0.1221331711858511,0.27962344884872437,0.051100101321935654,0.004198121838271618,15
12,1,0.7268972992897034,0.31421828269958496,0.5951196849346161,0.14959030598402023,0.35121016204357147,0.05881647765636444,0.005456667859107256,15
12,2,0.7270452380180359,0.3053271919488907,0.5934604704380035,0.14018812030553818,0.4146568477153778,0.07988133281469345,0.009422112256288528,15
12,3,0.7352118194103241,0.31395503878593445,0.594236820936203,0.15312445163726807,0.3910050094127655,0.06816958636045456,0.007096404209733009,15
12,4,0.7515225410461426,0.3290582746267319,0.5965954065322876,0.1534138098359108,0.3907119929790497,0.06399993598461151,0.006605896633118391,15
12,5,0.7114082872867584,0.2883908599615097,0.5943796038627625,0.1551281064748764,0.3964459002017975,0.07342572510242462,0.008315932005643845,15
12,6,0.7231219708919525,0.3111506253480911,0.5951247215270996,0.1495170295238495,0.34776921570301056,0.055621154606342316,0.004712009336799383,15
12,7,0.7326170802116394,0.3084972947835922,0.5932957530021667,0.15660379081964493,0.40245404839515686,0.07977612316608429,0.010066675022244453,15
12,8,0.7358876764774323,0.34012816846370697,0.5955454409122467,0.1498626321554184,0.2651401236653328,0.09436266124248505,0.01246306300163269,15
12,9,0.7105063199996948,0.2876594513654709,0.5925536155700684,0.14603367447853088,0.4137995094060898,0.07045868039131165,0.007807487156242132,15
12,10,0.726416289806366,0.3220408111810684,0.60503751039505,0.14758198708295822,0.28791049122810364,0.08646148443222046,0.010785155929625034,15
